"Entry Id"	"Genes"	"Genes Relationship"	"Protein Interactions"	"Common Pathways"	"GENEmeta"	"Oligogenic variant combinations"
"293"	"MTHFR; SCN2A"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI434"
"294"	"NEFH; OPTN"	"Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"Pathways of neurodegeneration - multiple diseases"	"0"	"OLI436"
"295"	"DCTN1; OPTN; TARDBP"	"Involved in the same disease;Affecting the same tissue;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"Amyotrophic lateral sclerosis;Membrane Trafficking;Pathways of neurodegeneration - multiple diseases"	"1"	"OLI437"
"296"	"DAO; SIGMAR1"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI438"
"297"	"OPTN; SOD1"	"Directly interacting;Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Monogenic experiments only"	"(OPTN, SOD1)"	"Amyotrophic lateral sclerosis;Pathways of neurodegeneration - multiple diseases"	"2"	"OLI439"
"298"	"SOD1; SQSTM1"	"Involved in the same disease;Directly interacting;Monogenic experiments only;Relevant pathways for phenotype"	"(SOD1, SQSTM1)"	"Signaling by Interleukins;Immune System;Pathways of neurodegeneration - multiple diseases;Amyotrophic lateral sclerosis;Cytokine Signaling in Immune system"	"2"	"OLI440; OLI636"
"299"	"CHMP2B; NEFH"	"Relevant pathways for phenotype"	"N.A."	"Pathways of neurodegeneration - multiple diseases"	"0"	"OLI441"
"300"	"FIG4; OPTN"	"Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"Amyotrophic lateral sclerosis;Pathways of neurodegeneration - multiple diseases"	"0"	"OLI442"
"301"	"COL17A1; EXPH5"	"Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI443"
"302"	"CLCNKB; SLC12A1"	"Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI444"
"303"	"PRPF31; SLC7A14"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI446"
"304"	"RP1; RP2"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI447"
"305"	"CYP4V2; RP9"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI448"
"306"	"FLVCR1; RIMS1; USH2A"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI449"
"307"	"EYS; MERTK"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI450"
"308"	"MYH7; TNNI3"	"Involved in the same disease;Affecting the same tissue;Same pathway;Relevant pathways for phenotype"	"N.A."	"Dilated cardiomyopathy;Hypertrophic cardiomyopathy;Cardiac muscle contraction;Adrenergic signaling in cardiomyocytes"	"2"	"OLI451"
"309"	"CD40LG; XIAP"	"Involved in the same disease;Affecting the same tissue;Same pathway;Relevant pathways for phenotype"	"N.A."	"NF-kappa B signaling pathway"	"2"	"OLI452"
"310"	"FZD4; TSPAN12"	"Indirectly interacting;Directly interacting;Same protein complex;Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Same pathway"	"(FZD4, TSPAN12)"	"N.A."	"2"	"OLI453"
"311"	"F5; FZD4"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"Membrane Trafficking;Vesicle-mediated transport"	"1"	"OLI455"
"312"	"ANOS1; CHD7"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI457; OLI1301; OLI1420"
"313"	"DYNC2H1; NEK1"	"Affecting the same tissue;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI458"
"314"	"CAV3; KCNH2"	"Directly interacting;Affecting the same tissue;Relevant pathways for phenotype;Colocalization;Same pathway"	"(CAV3, KCNH2)"	"Muscle contraction"	"2"	"OLI459"
"315"	"CPT2; PYGM"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"Metabolism"	"1"	"OLI461"
"316"	"C19orf12; CP; PLA2G6; TPP1"	"Involved in the same disease;Affecting the same tissue;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI462"
"317"	"ANGPTL3; APOB; MTTP; PCSK9; SAR1B"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"(APOB, MTTP)"	"Post-translational protein phosphorylation;and clearance;Plasma lipoprotein assembly;Fat digestion and absorption;Transport of small molecules;Metabolism of proteins;Plasma lipoprotein clearance;Chylomicron assembly;Cholesterol metabolism;Membrane Trafficking;Immune System;Vesicle-mediated transport;Post-translational protein modification;Plasma lipoprotein remodeling;Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs);Plasma lipoprotein assembly;remodeling;Metabolism;LDL clearance;Signal Transduction"	"2"	"OLI463"
"318"	"SLC26A4; TRHR"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI464"
"319"	"DUOX2; SLC26A4"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"Thyroid hormone synthesis"	"2"	"OLI465; OLI473; OLI590; OLI592"
"320"	"DUOXA2; TG"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI466; OLI993; OLI994"
"321"	"DUOX2; TG"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"Thyroid hormone synthesis"	"2"	"OLI467; OLI563; OLI564; OLI565; OLI567; OLI989; OLI990; OLI1021; OLI1022; OLI1023; OLI1024"
"322"	"TG; TPO"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"Thyroid hormone synthesis"	"2"	"OLI469; OLI519; OLI587; OLI995; OLI1025; OLI1026"
"323"	"DUOX2; DUOXA2; TG"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"Thyroid hormone synthesis"	"2"	"OLI470"
"324"	"TPO; TSHR"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"Autoimmune thyroid disease;Thyroid hormone synthesis"	"2"	"OLI471"
"325"	"GLIS3; TPO"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI472"
"326"	"HOXA1; TSC2"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI475; OLI484"
"327"	"CACNA1C; SHANK3"	"Involved in the same disease;Same pathway"	"N.A."	"Axon guidance;Nervous system development;Developmental Biology"	"2"	"OLI476"
"328"	"HOXA1; UBE3A"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI477"
"329"	"HOXA1; TSC1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI478; OLI483"
"330"	"TSC1; UBE3A"	"Involved in the same disease"	"N.A."	"Human papillomavirus infection"	"0"	"OLI479; OLI488"
"331"	"CACNA1C; TSC2"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI480"
"332"	"CACNA1C; CDKL5"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI481"
"333"	"CACNA1C; TSC1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI482"
"334"	"TSC1; TSC2"	"Involved in the same disease;Directly interacting;Same pathway"	"(TSC1, TSC2)"	"Gene expression (Transcription);Macroautophagy;Generic Transcription Pathway;AMPK signaling pathway;Autophagy;Autophagy - animal;Choline metabolism in cancer;Inhibition of TSC complex formation by PKB;RNA Polymerase II Transcription;TBC/RABGAPs;Insulin signaling pathway;Herpes simplex virus 1 infection;Transcriptional Regulation by TP53;MTOR signalling;Membrane Trafficking;Longevity regulating pathway;Vesicle-mediated transport;Phospholipase D signaling pathway;Rab regulation of trafficking;TP53 Regulates Metabolic Genes;mTOR signaling pathway;Human cytomegalovirus infection;Cellular senescence;Human papillomavirus infection;PI3K-Akt signaling pathway;Thermogenesis;Signal Transduction"	"2"	"OLI485"
"335"	"CACNA1C; FOXP2"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI486"
"336"	"FOXP2; GRID2"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI487"
"337"	"GRID2; TSC1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI489"
"338"	"CACNA1C; EML1; TSC1"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI490"
"339"	"SHANK3; TSC1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI491"
"340"	"CACNA1C; MECP2"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI492"
"341"	"CACNA1C; HOXA1"	"Involved in the same disease;Same pathway"	"N.A."	"Developmental Biology"	"1"	"OLI493"
"342"	"CACNA1C; GRID2"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI494"
"343"	"SHANK3; UBE3A"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI495"
"344"	"TSC2; UBE3A"	"Involved in the same disease;Directly interacting"	"(TSC2, UBE3A)"	"Human papillomavirus infection"	"2"	"OLI496"
"345"	"ATP2B2; CDH23"	"Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype"	"N.A."	"N.A."	"3"	"OLI497"
"346"	"DES; FBN1; FREM1; MET; PAX3"	"Monogenic experiments only;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI499"
"347"	"LDLR; PCSK9"	"Involved in the same disease;Directly interacting;Same pathway;Relevant pathways for phenotype"	"(LDLR, PCSK9)"	"Plasma lipoprotein assembly;and clearance;Cholesterol metabolism;Transport of small molecules;remodeling;LDL clearance;Plasma lipoprotein clearance"	"2"	"OLI500; OLI817; OLI818; OLI819; OLI820; OLI821"
"348"	"FOXI1; SLC26A4"	"Involved in the same disease;Affecting the same tissue;Directly interacting;Relevant pathways for phenotype"	"N.A."	"N.A."	"3"	"OLI502"
"349"	"ATP2B3; PMM2"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI503"
"350"	"COL4A5; LAMA5"	"Involved in the same disease;Affecting the same tissue;Same pathway;Relevant pathways for phenotype"	"N.A."	"ECM-receptor interaction;Extracellular matrix organization;Small cell lung cancer;Non-integrin membrane-ECM interactions;ECM proteoglycans;Focal adhesion;Laminin interactions;Degradation of the extracellular matrix;Pathways in cancer;Human papillomavirus infection;Signaling by Receptor Tyrosine Kinases;Amoebiasis;PI3K-Akt signaling pathway;Signal Transduction"	"2"	"OLI504; OLI916"
"351"	"CELSR1; SCRIB"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"3"	"OLI505; OLI506; OLI507; OLI510"
"352"	"CELSR1; DVL3"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI508"
"353"	"PTK7; SCRIB"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI509"
"354"	"ANOS1; NSMF"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI511; OLI1114"
"355"	"NSMF; TACR3"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI512"
"356"	"CDK4; MYC"	"Indirectly interacting;Directly interacting;Relevant pathways for phenotype"	"(CDK4, MYC)"	"Mitotic;Cell cycle;Chronic myeloid leukemia;Transcriptional regulation of granulopoiesis;Generic Transcription Pathway;Cyclin E associated events during G1/S transition;S Phase;Epstein-Barr virus infection;Hepatocellular carcinoma;Kaposi sarcoma-associated herpesvirus infection;RNA Polymerase II Transcription;Mitotic G1 phase and G1/S transition;Developmental Biology;Breast cancer;Cell Cycle;Human T-cell leukemia virus 1 infection;Pathways in cancer;Bladder cancer;Small cell lung cancer;Disease;Cyclin A:Cdk2-associated events at S phase entry;Cellular senescence;Hepatitis C;Human cytomegalovirus infection;G1/S Transition;Cell Cycle;PI3K-Akt signaling pathway;Signal Transduction"	"2"	"OLI513"
"357"	"C3; CD46"	"Involved in the same disease;Directly interacting;Relevant pathways for phenotype"	"(C3, CD46)"	"Immune System;Complement cascade;Complement and coagulation cascades;Innate Immune System"	"2"	"OLI514"
"358"	"CLCN7; TCIRG1"	"Involved in the same disease;Same pathway"	"N.A."	"Ion channel transport"	"1"	"OLI515"
"359"	"DUOX2; TSHR"	"Involved in the same disease"	"N.A."	"Thyroid hormone synthesis"	"2"	"OLI518; OLI986; OLI987; OLI988; OLI1074; OLI1076; OLI1175; OLI1481; OLI1482; OLI1483; OLI1485; OLI1494"
"360"	"TG; TSHR"	"Involved in the same disease"	"N.A."	"Thyroid hormone synthesis;Autoimmune thyroid disease"	"2"	"OLI520; OLI1073; OLI1493"
"361"	"ENAM; LAMA3"	"Affecting the same tissue;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI521"
"362"	"STX11; UNC13D"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI544; OLI980"
"363"	"STX11; STXBP2"	"Involved in the same disease;Directly interacting;Same pathway;Relevant pathways for phenotype"	"(STX11, STXBP2)"	"N.A."	"2"	"OLI545"
"364"	"RAB27A; STXBP2"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"Immune System"	"2"	"OLI546"
"365"	"DSP; JUP"	"Involved in the same disease;Affecting the same tissue;Directly interacting"	"(DSP, JUP)"	"Neutrophil degranulation;Keratinization;Immune System;Arrhythmogenic right ventricular cardiomyopathy;Formation of the cornified envelope;Developmental Biology"	"2"	"OLI547; OLI548"
"366"	"KCNE1; KCNH2; KCNQ1"	"Directly interacting;Same protein complex;Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Same pathway"	"(KCNE1, KCNH2);(KCNE1, KCNQ1)"	"Muscle contraction;Voltage gated Potassium channels;Phase 3 - rapid repolarisation;Neuronal System;Phase 2 - plateau phase;Cardiac conduction;Adrenergic signaling in cardiomyocytes"	"2"	"OLI549"
"367"	"KCNE1; KCNH2"	"Directly interacting;Same protein complex;Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Same pathway"	"(KCNE1, KCNH2)"	"Phase 3 - rapid repolarisation;Cardiac conduction"	"2"	"OLI551; OLI1220; OLI1221; OLI1222; OLI1223; OLI1224; OLI1225; OLI1226"
"368"	"ADGRV1; PDZD7; USH2A"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI552"
"369"	"FGF4; FGFR3; RERE"	"Involved in the same disease;Relevant pathways for phenotype"	"(FGF4, FGFR3)"	"N.A."	"1"	"OLI553"
"370"	"EGFR; FGFR1; MDGA1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"Ras signaling pathway;Breast cancer;Central carbon metabolism in cancer;Melanoma;Disease;Calcium signaling pathway;Proteoglycans in cancer;Diseases of signal transduction by growth factor receptors and second messengers;secretion and action;Pathways in cancer;Parathyroid hormone synthesis;Regulation of actin cytoskeleton;Rap1 signaling pathway;PI3K-Akt signaling pathway;Adherens junction;Prostate cancer"	"2"	"OLI554"
"371"	"CHD7; MCM9; PRKD1"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI555"
"372"	"IGSF10; PNPLA7"	"Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI556"
"373"	"CACNA1H; MAST4"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI557"
"374"	"MAST4; SCN1A"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI558"
"375"	"GPHN; MAST4"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI559"
"376"	"CACNA1G; KCNQ3"	"Same protein complex;Involved in the same disease;Relevant pathways for phenotype;Colocalization;Same pathway"	"N.A."	"Axon guidance;Nervous system development;Developmental Biology"	"2"	"OLI560"
"377"	"C9orf72; OPTN"	"Involved in the same disease;Colocalization;Relevant pathways for phenotype"	"N.A."	"Pathways of neurodegeneration - multiple diseases"	"1"	"OLI561; OLI579; OLI630; OLI631; OLI774"
"378"	"DUOX2; DUOXA2"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI562; OLI991; OLI992"
"379"	"DUOXA2; SLC26A4; TG"	"Involved in the same disease;Same pathway"	"N.A."	"Thyroid hormone synthesis"	"2"	"OLI566"
"380"	"PTPN11; SOS1"	"Directly interacting;Same pathway;Relevant pathways for phenotype"	"(PTPN11, SOS1)"	"MAPK family signaling cascades;Downstream signaling of activated FGFR3;Signaling by FLT3 ITD and TKD mutants;signaling and aggregation;Proteoglycans in cancer;Chronic myeloid leukemia;Downstream signaling of activated FGFR4;Axon guidance;Hemostasis;Signaling by Receptor Tyrosine Kinases;Signaling by FGFR;Insulin receptor signalling cascade;FRS-mediated FGFR1 signaling;IRS-related events triggered by IGF1R;Cell surface interactions at the vascular wall;Ras signaling pathway;Downstream signaling of activated FGFR1;Signaling by PDGF;Signaling by EGFR;Interleukin-3;RET signaling;JAK-STAT signaling pathway;IGF1R signaling cascade;Signaling by FGFR2;Interleukin-5 and GM-CSF signaling;Developmental Biology;Renal cell carcinoma;Downstream signal transduction;Signaling by NTRK2 (TRKB);Signaling by SCF-KIT;Platelet activation;MAPK1/MAPK3 signaling;Activated NTRK2 signals through FRS2 and FRS3;Nervous system development;Signaling by FGFR3;Natural killer cell mediated cytotoxicity;Immune System;Signaling by FGFR1;Phospholipase D signaling pathway;Adaptive Immune System;Neurotrophin signaling pathway;FRS-mediated FGFR3 signaling;Cytokine Signaling in Immune system;Innate Immune System;FRS-mediated FGFR4 signaling;FLT3 signaling in disease;Signaling by Interleukins;Disease;Signaling by MET;Signaling by FGFR4;Tie2 Signaling;Downstream signaling of activated FGFR2;Diseases of signal transduction by growth factor receptors and second messengers;FLT3 Signaling;Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R);Signaling by Insulin receptor;IRS-mediated signalling;FRS-mediated FGFR2 signaling;Signal Transduction;Signaling by NTRKs"	"2"	"OLI568"
"381"	"CAPN3; MYH7"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI569"
"382"	"CACNA1S; COL6A3"	"Involved in the same disease;Affecting the same tissue;Same pathway"	"N.A."	"NCAM1 interactions;Nervous system development;Axon guidance;Developmental Biology;NCAM signaling for neurite out-growth"	"1"	"OLI570"
"383"	"DYSF; MYH7"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI571"
"384"	"INHA; NR5A1"	"Involved in the same disease;Indirectly interacting;Same pathway;Relevant pathways for phenotype"	"N.A."	"Metabolism of proteins"	"2"	"OLI572"
"385"	"AKR1C3; DOCK8; FSHR; NCOR1; NR5A1; POR"	"Indirectly interacting;Same pathway;Relevant pathways for phenotype"	"N.A."	"Signaling by Nuclear Receptors;Ovarian steroidogenesis;Nuclear Receptor transcription pathway;Generic Transcription Pathway;Disease;Metabolism of lipids;Gene expression (Transcription);GPCR downstream signalling;RNA Polymerase II Transcription;Metabolism;Developmental Biology;Signaling by GPCR;Signal Transduction"	"0"	"OLI573"
"386"	"CACNG4; FBLN2; NAV1; NR5A1; SMAD6; SRA1; ZDHHC11; ZFPM2"	"Directly interacting;Indirectly interacting;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI574"
"387"	"CHD7; DENND1A; GDNF; GLI2; NR5A1; SOX30"	"Directly interacting;Indirectly interacting;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI575"
"388"	"LAMA3; WNT10A"	"Involved in the same disease;Affecting the same tissue;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"Human papillomavirus infection;Pathways in cancer;Signal Transduction"	"1"	"OLI576"
